id,adjective
1,absorbing
2,abstract
3,academic
4,addictive
5,adjustable
6,admired
7,aggressive
8,agreeable
9,alienating
10,alright
11,altruistic
12,ambient
13,ambivalent
14,amusing
15,angelic
16,applicable
17,approachable
18,appropriated
19,atrocious
20,authoritarian
22,avaricious
23,awesome
24,balding
25,bandaged
27,beaten
29,beguiled
31,belted
32,beneficent
33,besieged
34,big-money
35,biggest
36,biochemical
37,blessed
38,bloated
39,blue-collar
40,boastful
41,bold
42,bolstered
43,boring
45,brazen
46,breeding
47,bullied
48,bungling
49,buttery
50,cancerous
51,canonical
52,cantankerous
53,carefree
54,casual
55,cathartic
56,causal
57,cheeky
58,cherished
59,circumstantial
60,civil
61,classless
62,cloistered
63,codified
64,colloquial
65,commonplace
67,complementary
68,compromising
69,conceding
70,concentrated
71,conceptual
72,conditioned
73,confident
74,confidential
75,confining
76,confusing
77,congressional
78,consequential
79,conservative
80,contaminated
81,contemporaneous
82,convertible
83,cosmic
84,dashing
85,dazzling
86,decreased
87,decrepit
88,dedicated
89,defective
90,defenseless
91,deluded
92,departed
93,depressing
94,despairing
95,destitute
96,determined
97,devastating
98,deviant
99,devilish
100,devoted
101,diabetic
102,diagonal
103,dictated
104,didactic
105,differentiated
106,diffused
107,dirty
108,disabling
109,disconnected
110,disdainful
111,diseased
112,disfigured
113,disheveled
114,dissident
115,doable
116,draining
117,dreadful
118,dull
119,economical
120,elaborate
121,elastic
122,elective
123,elven
124,emotional
125,endangered
126,engrossing
127,entangled
128,enthralling
129,eradicated
130,eroded
131,esoteric
132,essential
133,ever-present
134,everlasting
135,exacting
136,exasperating
137,excessive
138,exciting
139,executable
140,existent
141,exorbitant
142,exotic
143,extraordinary
144,exultant
145,fading
146,faith-based
147,faltering
148,famous
149,fancy
150,fast-growing
151,fated
152,favourable
153,fermented
154,ferocious
155,flammable
156,flawed
157,flexible
158,foolish
159,formative
160,formulaic
161,foul-mouthed
162,freakish
163,fresh
164,fulfilling
165,funny
166,furry
167,garbled
168,gathered
169,gibberish
170,gilded
171,gleaming
172,glorified
173,glorious
174,gold-plated
175,gratuitous
176,grinding
177,grizzly
178,guaranteed
179,hands-off
180,hard-pressed
181,healthiest
182,hedonistic
183,heralded
184,high-performance
185,honorable
186,hopeless
187,horrendous
188,horrible
189,hot-button
190,humbling
191,humiliating
192,hypnotizing
193,idealistic
194,idiosyncratic
195,illustrative
196,imitated
197,immense
198,immersive
199,immoral
200,impressionable
201,improbable
202,incomprehensible
203,inert
204,inoffensive
205,insane
206,insensible
207,insidious
208,insufferable
209,interdependent
210,interesting
211,intolerable
212,intuitive
213,irritating
214,joyful
215,lacklustre
216,lagging
217,lamented
218,laughable
219,layered
220,legible
221,liberating
222,lightest
223,limitless
224,long-lasting
225,long-running
226,long-suffering
227,loudest
228,loveliest
229,low-budget
230,luxurious
231,maniacal
232,manmade
233,meaningful
234,melodic
235,memorable
236,mighty
237,mind-blowing
238,mind-boggling
239,minor
240,misguided
241,misshapen
242,mixed
243,modern
244,morbid
245,multidisciplinary
246,muscular
247,muted
248,mysterious
249,mythic
250,nail-biting
251,natural
252,networked
253,newest
254,noncommercial
255,nonsense
256,nuanced
257,occurring
258,offensive
259,oldest
260,oncoming
261,open-ended
262,ordinary
263,overboard
264,oversize
265,overworked
266,paramount
267,passive
268,patriotic
269,peacekeeping
270,perky
271,pernicious
272,perplexing
273,pervasive
274,perverted
275,philosophical
276,picturesque
277,plausible
278,pliable
279,positive
280,possible
281,precocious
282,premium
283,preserved
284,presidential
285,primal
286,private
287,procedural
288,prodigious
289,professional
290,programmed
291,progressive
292,prolific
293,promising
294,quick
296,raunchy
297,reactive
298,readable
299,recycled
300,redeemable
301,regal
302,reliable
303,removable
304,repellent
305,restrictive
306,revelatory
307,ridiculous
308,risque
309,robust
310,run-down
311,running
312,sanctioned
313,scandalized
314,sentient
315,shadowy
316,shameless
317,shiny
318,short-lived
319,simplest
320,sizable
321,sleek
322,specialized
323,speedy
324,stolen
325,stubborn
326,stylized
327,suave
328,supernatural
329,technical
330,telepathic
331,threatening
332,tough
333,traditional
334,traumatic
335,trying
336,twisted
337,tyrannical
338,unassuming
339,unattractive
340,uncooperative
341,unforgivable
342,unimaginative
343,universal
344,unpleasant
345,unreasonable
346,unreliable
347,unsafe
348,unsuccessful
349,useless
350,valiant
351,valid
352,valued
353,winningest
354,worst-case
355,worthless
